"","control_A","control_B","ph5h_A","ph5h_B","LPS_A","LPS_B","ph5hLPS_A","ph5hLPS_B","X1","X2","X3","X4"
"Abcc5",42.75005,48.940715125187,47.4143967,48.6463870002008,91.108718902,79.2995320002266,62.01571834487,87.79535070246,0,0,0,0
"Abcc6",0,0,0.0194894,0,0,0,0,0,0,0,0,0
"Abcc8",0,0,0.0350962,0.0686268,0,0,0,0,0,0,0,0
"Abcc9",0.0129243,0,0.0155105,0.0438084,0.0151652,0,0,0.0123855,0,0,0,0
"Abcd1",58.75427,55.69039,32.58265,34.53778,26.668917,32.665257,24.685238,25.83061,0,0,0,0
"Abcd2",5.60173,3.99386,4.1218,4.91803,0.232529,0.209315,0.900501,0.931211,0,0,0,0
"Abcd3",38.4964473,38.3034944,19.5862299,21.424533,21.098239,19.188886,18.410037,20.245559,0,0,0,0
"Abcd4",15.881459,17.881272,11.727028,14.331548,5.3649041,5.387508,8.095845,7.2003125,0,0,0,0
"Abce1",48.3973,51.25523,44.91504,47.072304,51.13729,53.52609,50.439932,50.421504,0,0,0,0
"Abcf1",74.136763,73.683341,42.022086,47.642251,72.471856,78.568941,43.16507,43.033957,0,0,0,0
"Abcf2",49.824,53.0625,28.7253,29.826,44.3268,50.6095,22.314,22.4493,0,0,0,0
"Abcf3",36.67533,37.714664,12.7131975035029,15.18736,27.087447,31.998320972483,19.89425,18.879249,0,0,0,0
"Abcg1",82.981532,80.196577,41.2985,39.995068,107.818878,99.615634,25.3997,19.4691,0,0,0,0
"Abcg2",9.3385812,14.299326,8.382148,6.65873,6.519685,3.444767,4.814735,4.0853335,0,0,0,0
"Abcg3",13.63754,14.11884,4.326199,4.28974,2.35331,1.763161,3.919035,2.430131,0,0,0,0
"Abcg4",0.0295927,0,0.142031,0.5477329,0.0337017,0.1609967,0.0632262,0.267475,0,0,0,0
"Abcg5",0,0,0,0,0,0,0,0,0,0,0,0
"Abcg8",0,0,0,0,0,0,0,0,0,0,0,0
"Abhd10",15.539849,20.763584,25.641158,23.861654,11.29615,11.028771,11.714287,12.953654,0,0,0,0
"Abhd11",17.09749,17.68452,11.001879,11.568648,9.990363,8.547567,7.75562,8.609764,0,0,0,0
"Abhd11os",0.178554,0.422601,0,0.400041,0.202655,0.211079,0,0.165372,0,0,0,0
"Abhd12",323.99077,321.851478,443.92622,451.68366,169.157963,144.467564,335.84627,315.686889,0,0,0,0
"Abhd12b",0.0274634,0.0981113,0,0.0924401,0.2671137,0.3093933,0.0926836,0.0524616,0,0,0,0
